BourbonID;Bourbon;Aged;Proof;Corn;Rye;Barley;Wheat;Type;Style;Price Range;Distillery;Location;Website;Description
berkshire;Berkshire Bourbon;4;86;72;18;10;0;Not Straight;Small Batch;3;Berkshire Mountain Distillery;Massachusetts;https://berkshiremountaindistillers.com/our-products/berkshire-bourbon/;"Berkshire Mountain Distillers' Bourbon Whiskey is handcrafted in small batches using local corn sourced from a farmer two miles from the distillery. After meticulous fermentation and distillation, only the finely cut of spirit is selected to be aged in virgin American white oak barrels."
berkshiresmoke;Berkshire Smoke and Peat;4;86;72;18;10;0;Not Straight;Small Batch;4;Berkshire Mountain Distillery;Massachusetts;https://berkshiremountaindistillers.com/2016site/wp-content/uploads/2015/03/BMD_salessheets_2016__bourbon_smokepeat.pdf;"In making our smoke and peat series bourbon, we first start with our gold medal award winning Berkshire Bourbon that has been previously aged in Virgin American white oak barrels. Once it has been aged to perfection we then transfer it to casks that have been freshly emptied of an Islay single malt Scotch. We let our bourbon finish in these heavily peated and smoked casks for just the right amount of time. The resultant whiskey is sure to please, perhaps even bring together, two typically different types of whiskey drinkers."
bibtucker;Bib & Tucker;6;92;70;26;4;0;Straight;Small Batch;3;35 Maple Street Spirits;Kentucky;;"Bib & Tucker Small Batch Bourbon Whiskey is crafted from a mash of 70% corn, 26% rye and 4% malted barley. The grains, which were harvested in late 2006 and early 2007, were distilled twice — first through a column still and then through an old fashioned copper pot still. Following distillation, the bourbon was matured in No. 1 charred American white oak barrels."
bigass;Big Ass Bourbon;2;90;0;0;0;0;Not Straight;Small Batch;2;Kentucky Artisan Distillery;Kentucky;http://bigassbourbon.com/;"The bourbon is named in honor of one of the finest breeds of donkey in the world, the American Mammoth. It is the world's largest ass being first bred by George Washington."
bigbottom;Big Bottom American Straight Bourbon Whiskey;6;91;60;36;4;0;Straight;Small Batch;3;Big Bottom Distillery;Oregon;http://www.bigbottomdistilling.com/american-straight-bourbon.php;"Aged in new white oak casks and proofed at 91°, our American Straight Bourbon Whiskey consists of 36% rye. The complexity of the whiskey contains spicy undertones of cloves and allspice entwined with honeysuckle. The pleasing balances of spice create a long smooth finish. Not only can this American Straight Bourbon be enjoyed neat, it also is an incredible base spirit for any whiskey cocktail. The American Straight Bourbon Whiskey was rated a score of 91 from Anthony Dias Blue of Tasting Panel Magazine and Founding Director of San Francisco World Spirits Competition. In addition, it won a Bronze Medal for Taste at the 2011 MicroLiquor Spirit Awards."
bigbottonport;Big Bottom Straight Bourbon Whiskey, Port Cask Finish;6;91;60;36;4;0;Straight;Small Batch;3;Big Bottom Distillery;Oregon;http://www.bigbottomdistilling.com/port-cask-finish.php;"Non-chilled filtered and proofed at 91, the Straight Bourbon Whiskey, Port Cask Finish is a 36% rye bourbon that was finished in a 10 year Tawny Port Barrel for 6 months. It offers the bourbon a complexity of cherry, chocolate and vanilla undertones. The Straight Bourbon Whiskey, Port Cask Finish has won multiple awards including a Gold Medal at the 2012 San Francisco World Spirits Competition and a Gold Medal for Taste at the 2011 MicroLiquor Spirit Awards."
bigbottomzinfandel;Big Bottom Straight Bourbon Whiskey, Zinfandel Cask Finish;6;91;60;36;4;0;Straight;Small Batch;3;Big Bottom Distillery;Oregon;http://www.bigbottomdistilling.com/zin-cask-finish.php;"November 2012 Release. Big Bottom Whiskey introduces a truly unique style finished bourbon. A 36% rye bourbon, further aged for 6 months in French oak zinfandel casks from four different vineyards. The zinfandel that housed these casks came from vines ranging from 70 to 135 years old. The result is a complementary blend of beautifully finished bourbon exhibiting the essence of cinnamon, dark berries and soft tannins. The Straight Bourbon Whiskey, Zinfandel Cask Finish was recently awarded a Gold Medal from The Fifty Best Bourbon 2013."
bigbottomcabernetl;Big Bottom Straight Bourbon Whiskey, Cabernet Cask Finish;6;91;60;36;4;0;Straight;Small Batch;3;Big Bottom Distillery;Oregon;http://www.bigbottomdistilling.com/straight_bourbon_whiskey_cabernet_cask_finish.php;"Our 6 year old straight bourbon whiskey is further aged in French oak cabernet sauvignon casks for 5 months forming a unique blend of black cherry and currant intermingled with hints of cassis and blackberry."
bigbotton111;Big Bottom 111 Proof American Straight Bourbon Whiskey;6;91;60;36;4;0;Straight;Small Batch;3;Big Bottom Distillery;Oregon;http://www.bigbottomdistilling.com/111-proof-american-straight.php;"Aged over 6 years in new white oak, the next generation of our bourbon showcases the bold flavors that come with a 111 proof whiskey. The higher proof pronounces the traits of vanilla, caramel, cloves, allspice and honeysuckle on the palate resulting in a long, robust finish. This product was recently awarded a Gold Medal at the 2014 Great American Distiller's Festival."
bighouse;Big House;6;90;60;35;5;0;Straight;Small Batch;2;Underdog Wine & Spirits;California;;"Big House Straight Bourbon is hand-crafted in small batches, mellowed in new charred American oak and finishes smooth due to time served."
birddog;Bird Dog;0;80;0;0;0;0;Not Straight;Traditional;2;Western Spirits;Kentucky;https://www.birddogwhiskey.com/kentuckybourbons/;"Bird Dog Select Stock Kentucky Bourbon is barrel aged to the right balance of body and flavor. This bluegrass crafted bourbon has a mash bill of corn, rye and malted barley."
birddogsmall;Bird Dog Small Batch;0;86;0;0;0;0;Not Straight;Small Batch;2;Western Spirits;Kentucky;https://www.birddogwhiskey.com/kentuckybourbons/;"Bird Dog Small Batch Bourbon is a masterfully crafted spirit. It is created by carefully combining our best, premium-aged Kentucky bourbons until the desired distinct and bold flavor profile is achieved."
birddog10;Bird Dog 10 Year;10;90;0;0;0;0;Not Straight;Small Batch;2;Western Spirits;Kentucky;https://www.birddogwhiskey.com/kentuckybourbons/;"Bird Dog 10 Year Old Bourbon is crafted from the most sought-after, hand selected barrels. In the specific barrel selections of this very small batch, considerations of age, depth of character and flavor notes are paramount."
blacksaddle;Black Saddle;12;90;0;0;0;0;Straight;Small Batch;3;Frank-Lin Distillers;California;http://www.frank-lin.com/pdf/Black_Saddle_sell_sheet_gold.pdf;"A bottle of Black Saddle 12 year old bourbon, an award-winning hard to find whiskey from Kentucky. This picked up a double gold medal at the prestigious San Francisco Spirits Competition in 2014."
bladebow;Blade and Bow;0;91;0;0;0;0;Straight;Solared Aged;3;Stitzel-Weller Distillery;Kentucky;https://www.bladeandbowwhiskey.com/our-whiskies/blade-and-bow;"A homage to the legendary Stitzel-Weller distillery, Blade and Bow Kentucky Straight Bourbon Whiskey uses a unique Solera System aging process to preserve some of the distillery’s oldest whiskey stocks, including some of the last bourbon produced there before it closed in 1992. The solera liquid is mingled with other fine whiskies aged and bottled at Stitzel-Weller. Aged in new charred American white oak barrels, this bourbon has a subtle aroma of fresh fruit and a taste that includes hints of dried apricot, ripe pear and a sweet roasted grain. The finish has notes of charred oak and warm winter spices. Blade and Bow Kentucky Straight Bourbon Whiskey received a GOLD MEDAL at the 2015 San Francisco World Spirits Competition."
bladebow22;Blade and Bow 22-Year-Old;22;91;0;0;0;0;Straight;Limited Edition;5;Stitzel-Weller Distillery;Kentucky;https://www.bladeandbowwhiskey.com/our-whiskies/blade-and-bow-22-year-old;"The award-winning Blade and Bow 22-Year-Old Kentucky Straight Bourbon Whiskey is a limited-release whiskey inspired by the passion and craftsmanship of the legendary Stitzel-Weller distillery. Blade and Bow 22-Year-Old was most recently aged and bottled at Stitzel-Weller Smooth and smoky, this limited-release bourbon’s taste is accented with notes of torched sugar and apples baked in honey and spices. Its aroma is one of toasted oak mixed with vanilla bean, fig and just a touch of caramel. Blade and Bow 22-Year-Old Kentucky Straight Bourbon Whiskey was named the “Best Straight Bourbon” and received the DOUBLE GOLD MEDAL at the 2015 San Francisco World Spirits Competition."
blantonsbarrel;Blanton's Staight from the Barrel;0;130;85;15;5;0;Straight;Single Barrel;3;Blanton's Distilling Co.;Kentucky;https://www.blantonsbourbon.com/straight_from_the_barrel;"Not only one of the world’s best bourbons, Blanton’s Straight from the Barrel is one of the world’s best whiskeys. Created for connoisseurs familiar with cask strength whiskeys, this enormous taste profile reaches depths of flavor found only in the rarest of spirits. The high alcohol by volume is intense and powerful yet inviting. The complexity of rye, caramel, oak, honey and vanilla coat your palate followed by a legendary finish. Straight from the barrel is best served neat or with a splash of water. Un-filtered, un-cut, unbelievable."
blantonsgold;Blanton's Gold Edition;0;103;85;15;5;0;Straight;Single Barrel;4;Blanton's Distilling Co.;Kentucky;https://www.blantonsbourbon.com/gold;"Blanton’s Gold Edition was created for discerning connoisseurs who appreciate exceptional smoothness and clean finish in their bourbon whiskey. The rich taste of dark fudge, citrus, oak and cream combined with the spiciness of white pepper and rye lead to a long finish that challenges the world’s finest single malts and rarest cognacs in complexity and character. Best served neat or with a splash of water. Bottled at 51% alcohol by volume."
blantonssingle;Blanton's Original Single Barrel;6;93;85;15;5;0;Straight;Single Barrel;3;Blanton's Distilling Co.;Kentucky;https://www.blantonsbourbon.com/original_single_barrel;"Taken from the center-cut or middle sections of the famous Warehouse H, Blanton’s Original was once designated for ambassadors, dignitaries, and Colonel Blanton’s family and friends. Today, everyone has access to the world’s first single barrel bourbon. The taste profile is sweet with citrus and oak. A creamy vanilla nose features hints of nuts, caramel, orange and light chocolate. Blanton’s Original set the standard for single barrel bourbons. Best served neat or on the rocks. 46% alcohol by volume."
blantonsspecial;Blanton's Special Reserve;0;80;85;15;5;0;Straight;Single Barrel;3;Blanton's Distilling Co.;Kentucky;https://www.blantonsbourbon.com/special;"Created as an introductory edition to our full lineup, Blanton’s Special Reserve is ideal for those new to single barrel bourbons. A sweet taste profile with a floral nose and light undertones of vanilla and citrus make it perfect for a premium cocktail or served on the rocks. 40% alcohol by volume."
bookers;Booker's;6;127;75;13;12;0;Straight;Small Batch;3;Jim Bean Small Batch Collection;Kentucky;www.bookersbourbon.com;"Booker’s Bourbon is a rare barrel-strength bourbon, bottled uncut and unfiltered*. But you obviously know a good bit about bourbon, because you don’t end up here by mistake. We don’t advertise. We don’t do social media. We just do bourbon. We focus on the sweet spot. The center of the rackhouse where the temperature and humidity stars align to create the deepest and most intense flavors. Once it’s aged to perfection, which always varies, the liquid is bottled uncut and unfiltered. We don’t add, we don’t water down, and we don’t apologize for it. For some people, it may be too much. But for true bourbon fans, it’s probably the best ever."
deluxe;Bourbon De Luxe;4;80;75;13;12;0;Straight;Traditional;1;Jim Bean;Kentucky;;"A four-year-old straight bourbon produced by Jim Beam at their distillery in Clermont, Kentucky. This young bourbon is versatile and can either be drunk neat, as part of a long drink or in cocktails."
breakenter;Breaking & Entering;5;86;0;0;0;0;Not Straight;Small Batch;3;St. George Spirits;Californiauch"With Breaking & Entering Bourbon, our plunder is your pleasure. To make B&E, St. George distillers Lance Winters and Dave Smith went deep into the rickhouses of Kentucky’s most venerable bourbon distilleries and brought several hundred barrels back to blend at our distillery in Alameda. The result? A criminally delicious bourbon with a storied Kentucky pedigree that would’ve been impossible for any one distillery to produce on its own."
breckenridge;Breckenridge;2;86;56;38;6;0;Blend;Small Batch;3;Breckenridge Distillery;Colorado;http://breckenridgedistillery.com/products-3/;"Deep honey-amber hue with warm, pronounced aromas of under-ripe banana and brown sugar, with spicy notes of white pepper and toasted sesame. Light body with warm texture and long sweet oak, vanilla finish with a touch of bitterness to balance. Reminiscent of a slice of toasted rye bread with honey drizzled on it. We mash, ferment and distill a lot of Bourbon in house. Our Blend of Straight Bourbon Whiskeys also consists of Barrels selected from Kentucky, Tennessee, and Indiana chosen for their unique qualities, heritage, and ability to marry in our blend, always made from a high-rye mash bill."
breckenridgesingle;Breckenridge Bourbon Single Barrel;2;86;56;38;6;0;Blend;Single Barrel;3;Breckenridge Distillery;Colorado;http://breckenridgedistillery.com/products-3/;"Every so often a barrel tasted for inclusion into our award winning Bourbon Whiskey Blend just expresses itself too individually to become part of the mix. These barrels we set aside for extended aging and when they reach their peak we hand bottle, sign and stamp these gems to release in extremely limited quantity. These bottles represent only the finest expression of Breckenridge Bourbon Whiskey. Rich, sumptuous top notes of toffee and caramel give way to clean burnt orange and butterscotch on the palate. Strong spicy undertones with a balanced oak profile and a fleeting hint of solvent-like ester notes, which manifest as banana peel and passion fruit. Long, reverberating finish carries the richness and balance of a classic Bourbon Whiskey"
brokenbell;Broken Bell;0;90;0;0;0;0;Not Straight;Small Batch;2;Distiller Sales Company;Minnesota;;"A solid small batch bourbon treating the drinker to dried fruit, vanilla, citrus and a bit of spice. This whiskey is bottled at 45% ABV. A young although solid sipper, this one also makes a great base for all your favorite cocktails."
buck;Buck;8;90;0;0;0;0;Straight;Small Batch;2;Frank-Lin Distillers;California;;"Buck 8 Year is sourced Kentucky straight bourbon bottled and distributed by independent bottler, Frank-Lin Distillers. This old fashioned sour mash whiskey was aged for 8 years in new American oak and bottled at 45% abv. The Kentucky distillery producing this whiskey remains unknown."
buffalo;Buffalo Trace;7;90;85;10;5;0;Straight;Traditional;2;Buffalo Trace Distillery;Kentucky;http://www.buffalotrace.com/our-bourbon.html;"Buffalo Trace Kentucky Straight Bourbon Whiskey is distilled, aged and bottled at the most award-winning distillery in the world. Made from the finest corn, rye and barley malt, this whiskey ages in new oak barrels for years in century old warehouses until the peak of maturity. The taste is rich and complex, with hints of vanilla, toffee and candied fruit. The smooth finish lingers on the palate. This will never change."
bulleit;Bulleit;6;90;68;28;4;0;Straight;Traditional;2;Stitzel-Weller Distillery;Kentucky;https://www.bulleit.com/whiskeys/bulleit-bourbon/;"Bulleit Bourbon is inspired by the whiskey pioneered by Augustus Bulleit over 150 years ago. Only ingredients of the very highest quality are used. The subtlety and complexity of Bulleit Bourbon come from its unique blend of rye, corn, and barley malt, along with special strains of yeast and pure Kentucky limestone filtered water. Due to its especially high rye content, Bulleit Bourbon has a bold, spicy character with a finish that's distinctively clean and smooth. Medium amber in color, with gentle spiciness and sweet oak aromas. Mid-palate is smooth with tones of maple, oak, and nutmeg. Finish is long, dry, and satiny with a light toffee flavor."
bulleit10;Bulleit 10-Year-Old;10;91;68;28;4;0;Straight;Small Batch;3;Stitzel-Weller Distillery;Kentucky;https://www.bulleit.com/whiskeys/bulleit-bourbon-10-year-old/;"Bulleit Bourbon 10 Year Old is Tom Bulleit’s selected reserve. Aged in charred American white oak, select Bulleit Bourbon barrels were set aside to age for 10 years. The result is a special expression of Bulleit that provides a rich, deep, incredibly smooth sipping experience."
burnsideoregron;Burnside Oregon Oaked Bourbon;4;96;75;10;15;0;Straight;Special Finish;3;Eastside Distilling;Oregon;https://www.eastsidedistilling.com/burnside-oregon-oaked-bourbon;"Eastside Distilling has been making craft spirits on Portland’s Distillery Row since its inception in 2008.  They put out a full range of spirits from rum to vodka to an award winning bourbon, which is the start of the Oregon Oaked Bourbon, the focus of this review. Yes, they took their four year old Gold Medal bourbon and put it back into barrels to age.  But not just any barrel would do, but new Oregon grown oak barrels for upwards of two additional months. This rounds out the spices in the bourbon, while adding a touch of oak to it. "
burnside;Burnside Bourbon;4;96;75;10;15;0;Straight;Small Batch;2;Eastside Distilling;Oregon;;"Burnside Bourbon will put sideburns on your face! Eastside Distilling’s Burnside Bourbon is a spicy, barrel-aged straight bourbon whiskey bottled at 96 proof – giving it more gusto than many of the other bourbons on the market."
burnsidegoose;Burnside Goose Hollow RSV Bourbon;4;92;75;10;15;0;Straight;Special Finish;3;Eastside Distilling;Oregon;https://www.eastsidedistilling.com/burnside-goose-hollow-rsv-bourbon;"Burnside Goose Hollow Reserve is a small batch expression of straight bourbon whiskies that are meticulously blended then aged for 45 days in Garryana Casks for a South meets West Bourbon unlike any other. Glorious Oregon Oak!"
